Size Array;Insertion Sort;Bubble Sort;Selection Sort
0;1;0;0
5000;2;5;4
10000;2;5;1
15000;1;5;1
20000;2;4;2
25000;3;7;2
30000;3;11;3
35000;4;18;6
40000;6;21;6
45000;8;24;7
50000;8;28;9
55000;11;35;11
60000;13;43;12
65000;15;50;14
70000;18;57;17
75000;21;62;19
80000;24;74;23
85000;26;98;27
90000;32;102;31
95000;35;106;30
100000;36;112;35
105000;39;129;37
110000;43;138;42
115000;47;154;44
120000;52;163;49
125000;57;177;53
130000;61;190;57
135000;66;210;61
140000;70;222;66
145000;78;233;72
150000;83;255;74
155000;88;268;81
160000;93;289;86
165000;100;308;91
170000;103;325;96
175000;112;342;102
180000;119;369;121
185000;123;383;114
190000;129;403;120
195000;138;421;127
200000;145;448;132
205000;153;470;139
210000;163;489;148
215000;167;513;156
220000;174;542;160
225000;184;564;169
230000;190;591;176
235000;204;614;184
240000;207;643;194
245000;218;671;200
250000;225;699;209
255000;232;724;218
260000;244;756;230
265000;253;781;234
270000;261;813;244
275000;270;838;251
280000;281;873;260
285000;291;902;271
290000;305;939;279
295000;312;965;289
300000;324;1000;302
305000;335;1036;311
310000;348;1074;320
315000;356;1104;330
320000;366;1134;340
325000;378;1178;352
330000;389;1215;361
335000;405;1256;375
340000;413;1293;387
345000;427;1337;407
350000;455;1394;420
355000;457;1446;429
360000;467;1499;436
365000;485;1526;455
370000;499;1557;460
375000;504;1597;472
380000;516;1641;483
385000;529;1687;496
390000;542;1736;510
395000;560;1771;523
400000;574;1838;539
405000;587;1869;552
410000;602;1935;568
415000;619;1955;584
420000;627;2005;596
425000;640;2118;612
430000;685;2118;627
435000;679;2292;640
440000;688;2194;656
445000;705;2281;671
450000;724;2327;686
455000;736;2414;700
460000;755;2441;717
465000;771;2492;736
470000;790;2540;750
475000;809;2593;767
480000;820;2651;784
485000;839;2713;810
490000;855;2770;820
495000;878;2840;857
500000;921;2937;893
